did,oid,eid,sid,ent,pedestrianDestinationCentroid,pedestriansIn,pedestriansIn_D,pedestriansOut,pedestriansOut_D,speed,speed_D,hspeed,hspeed_D,travelTime,travelTime_D,walkingTime,walkingTime_D,meanStopTime,meanStopTime_D,maxStopTime,maxStopTime_D,numStops,numStops_D
432282,432037,,0,1,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432038,,0,1,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432039,,0,1,0.0,2.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432040,,0,1,0.0,2.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432041,,0,1,0.0,3.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432042,,0,1,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432043,,0,1,0.0,8.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432044,,0,1,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432045,,0,1,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432046,,0,1,0.0,3.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432047,,0,1,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432289,,0,1,0.0,2.0,0.0,1.0,0.0,4.89590336810135,-1.0,4.89590336810135,-1.0,336.0,-1.0,336.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0
432282,432037,,1,1,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432038,,1,1,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432039,,1,1,0.0,2.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432040,,1,1,0.0,2.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432041,,1,1,0.0,3.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432042,,1,1,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432043,,1,1,0.0,8.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432044,,1,1,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432045,,1,1,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432046,,1,1,0.0,3.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432047,,1,1,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432289,,1,1,0.0,2.0,0.0,1.0,0.0,4.89590336810135,-1.0,4.89590336810135,-1.0,336.0,-1.0,336.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0
432282,432037,,0,2,0.0,2.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432038,,0,2,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432039,,0,2,0.0,4.0,0.0,1.0,0.0,3.36726225433607,-1.0,3.36726225433607,-1.0,959.2,-1.0,790.000000000005,-1.0,169.199999999995,-1.0,169.199999999995,0.0,1.0,-1.0
432282,432040,,0,2,0.0,2.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432041,,0,2,0.0,6.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432042,,0,2,0.0,5.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432043,,0,2,0.0,11.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432044,,0,2,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432045,,0,2,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432046,,0,2,0.0,5.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432047,,0,2,0.0,3.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432289,,0,2,0.0,3.0,0.0,1.0,0.0,5.05276451713426,-1.0,5.05276451713426,-1.0,325.6,-1.0,325.6,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0
432282,432037,,1,2,0.0,2.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432038,,1,2,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432039,,1,2,0.0,4.0,0.0,1.0,0.0,3.36726225433607,-1.0,3.36726225433607,-1.0,959.2,-1.0,790.000000000005,-1.0,169.199999999995,-1.0,169.199999999995,0.0,1.0,-1.0
432282,432040,,1,2,0.0,2.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432041,,1,2,0.0,6.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432042,,1,2,0.0,5.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432043,,1,2,0.0,11.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432044,,1,2,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432045,,1,2,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432046,,1,2,0.0,5.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432047,,1,2,0.0,3.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432289,,1,2,0.0,3.0,0.0,1.0,0.0,5.05276451713426,-1.0,5.05276451713426,-1.0,325.6,-1.0,325.6,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0
432282,432037,,0,3,0.0,2.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432038,,0,3,0.0,3.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432039,,0,3,0.0,5.0,0.0,1.0,0.0,4.65725055706921,-1.0,4.65725055706921,-1.0,1336.0,-1.0,1336.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0
432282,432040,,0,3,0.0,3.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432041,,0,3,0.0,9.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432042,,0,3,0.0,7.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432043,,0,3,0.0,13.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432044,,0,3,0.0,2.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432045,,0,3,0.0,2.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432046,,0,3,0.0,10.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432047,,0,3,0.0,4.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432289,,0,3,0.0,3.0,0.0,1.0,0.0,4.26982745469266,-1.0,4.26982745469266,-1.0,386.4,-1.0,386.4,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0
432282,432037,,1,3,0.0,2.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432038,,1,3,0.0,3.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432039,,1,3,0.0,5.0,0.0,1.0,0.0,4.65725055706921,-1.0,4.65725055706921,-1.0,1336.0,-1.0,1336.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0
432282,432040,,1,3,0.0,3.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432041,,1,3,0.0,9.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432042,,1,3,0.0,7.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432043,,1,3,0.0,13.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432044,,1,3,0.0,2.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432045,,1,3,0.0,2.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432046,,1,3,0.0,10.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432047,,1,3,0.0,4.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432289,,1,3,0.0,3.0,0.0,1.0,0.0,4.26982745469266,-1.0,4.26982745469266,-1.0,386.4,-1.0,386.4,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0
432282,432037,,0,4,0.0,2.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432038,,0,4,0.0,6.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432039,,0,4,0.0,6.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432040,,0,4,0.0,4.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432041,,0,4,0.0,9.0,0.0,2.0,0.0,3.079804198475,0.00434729475728349,3.07980113026506,0.000458324746340639,2000.4,109.177287015206,1537.59999999996,100.267741572248,462.800000000037,8.90954544295403,469.100000000038,0.0,2.0,0.0
432282,432042,,0,4,0.0,7.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432043,,0,4,0.0,15.0,0.0,1.0,0.0,2.59234183753724,-1.0,2.59234183753724,-1.0,2095.2,-1.0,1439.39999999992,-1.0,655.800000000081,-1.0,655.800000000081,0.0,2.0,-1.0
432282,432044,,0,4,0.0,3.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432045,,0,4,0.0,3.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432046,,0,4,0.0,14.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432047,,0,4,0.0,5.0,0.0,2.0,0.0,2.71668075188567,0.384799863289623,2.68942857389514,0.0526667220117215,1281.6,200.252640432031,805.39999999996,56.1442784262694,476.20000000004,256.3969188583,657.500000000081,0.0,1.0,0.0
432282,432289,,0,4,0.0,9.0,0.0,3.0,0.0,4.62861283121882,0.566905360171684,4.57938173879361,0.0284659066084079,358.933333333333,46.7184474627883,358.366666666667,47.1402517317565,0.566666666666667,0.602771377334171,1.2,0.0,0.666666666666667,0.577350269189626
432282,432037,,1,4,0.0,2.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432038,,1,4,0.0,6.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432039,,1,4,0.0,6.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432040,,1,4,0.0,4.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432041,,1,4,0.0,9.0,0.0,2.0,0.0,3.079804198475,0.00434729475728349,3.07980113026506,0.000458324746340639,2000.4,109.177287015206,1537.59999999996,100.267741572248,462.800000000037,8.90954544295403,469.100000000038,0.0,2.0,0.0
432282,432042,,1,4,0.0,7.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432043,,1,4,0.0,15.0,0.0,1.0,0.0,2.59234183753724,-1.0,2.59234183753724,-1.0,2095.2,-1.0,1439.39999999992,-1.0,655.800000000081,-1.0,655.800000000081,0.0,2.0,-1.0
432282,432044,,1,4,0.0,3.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432045,,1,4,0.0,3.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432046,,1,4,0.0,14.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432047,,1,4,0.0,5.0,0.0,2.0,0.0,2.71668075188567,0.384799863289623,2.68942857389514,0.0526667220117215,1281.6,200.252640432031,805.39999999996,56.1442784262694,476.20000000004,256.3969188583,657.500000000081,0.0,1.0,0.0
432282,432289,,1,4,0.0,9.0,0.0,3.0,0.0,4.62861283121882,0.566905360171684,4.57938173879361,0.0284659066084079,358.933333333333,46.7184474627883,358.366666666667,47.1402517317565,0.566666666666667,0.602771377334171,1.2,0.0,0.666666666666667,0.577350269189626
432282,432037,,0,5,0.0,2.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432038,,0,5,0.0,6.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432039,,0,5,0.0,7.0,0.0,3.0,0.0,3.78888838646226,1.73709664496367,3.14366684896888,0.180880582088638,1446.13333333333,230.888833279856,1138.06666666662,387.273770520793,308.066666666714,533.587118785134,924.200000000142,0.0,1.0,1.73205080756888
432282,432040,,0,5,0.0,4.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432041,,0,5,0.0,12.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432042,,0,5,0.0,7.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432043,,0,5,0.0,16.0,0.0,3.0,0.0,2.4897227320493,0.0525345169721023,2.48898430909556,0.0084715258350859,2025.33333333333,164.810355661683,1594.39999999997,165.912959108083,430.933333333363,53.1409760291873,481.700000000041,0.0,1.66666666666667,0.577350269189625
432282,432044,,0,5,0.0,3.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432045,,0,5,0.0,5.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
432282,432046,,0,5,0.0,20.0,0.0,3.0,0.0,2.59391899117182,0.548814432840079,2.50726333128072,0.0946328313208299,1334.93333333333,88.7543426167615,1146.50000000001,54.0556195043609,188.433333333327,55.1918774217094,250.59999999999,0.0,1.0,0.0
432282,432047,,0,5,0.0,9.0,0.0,1.0,0.0,2.04868577832478,-1.0,2.04868577832478,-1.0,1698.4,-1.0,948.599999999898,-1.0,749.800000000102,-1.0,749.800000000102,0.0,1.0,-1.0
432282,432289,,0,5,0.0,10.0,0.0,3.0,0.0,5.17457685103615,0.91720541678875,5.05390133133801,0.0390515957690398,326.133333333333,65.3866449157116,326.133333333333,65.3866449157116,0.0,0.0,0.0,0.0,0.0,0.0
432282,432037,,1,5,0.0,2.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
