did,oid,eid,sid,ent,density,density_D,flow,flow_D,input_flow,input_flow_D,input_count,input_count_D,ttime,ttime_D,dtime,dtime_D,wtimeVQ,wtimeVQ_D,speed,speed_D,spdh,spdh_D,travel,travel_D,traveltime,traveltime_D,vWait,vWait_D,vIn,vIn_D,vOut,vOut_D,totalDistanceTraveledInside,totalDistanceTraveledInside_D,totalTravelTimeInside,totalTravelTimeInside_D,totalWaitingTime,totalWaitingTime_D,vLostIn,vLostIn_D,vLostOut,vLostOut_D,qmean,qmean_D,qvmean,qvmean_D,qvmax,qvmax_D,missedTurnings,missedTurnings_D,lane_changes,lane_changes_D,total_lane_changes,total_lane_changes_D,stime,stime_D,nstops,nstops_D,totalNStops,totalNStops_D,fuelc,fuelc_D
182121,182121,,0,1,2.95396977801864,-1.0,19998.0,-1.0,44562.0,-1.0,7427.0,-1.0,93.461142909288,30.5103763518896,25.5232891586376,28.7599326065998,209.730972379523,186.860329514362,40.8514218749559,8.09293216069072,38.518681539066,9.47913931280039,14155.6376155693,-1.0,344.800697002124,-1.0,2055451.0,-1.0,5295.0,-1.0,3333.0,-1.0,29582.8639007827,-1.0,1543.20882735493,-1.0,227701.955635194,-1.0,0.0,-1.0,0.0,-1.0,2243.904,-1.0,1371521.99066667,-1.0,2055451.0,-1.0,45.0,-1.0,3.55364035396646,-1.0,8909.0,-1.0,12.404803728718,23.2353179156972,0.0,-1.0,7276.0,-1.0,1200.31279144675,-1.0
182121,182121,,1,1,2.94478872726216,-1.0,19974.0,-1.0,44442.0,-1.0,7407.0,-1.0,93.3713744554252,30.3873514477419,25.5321112494565,28.7751365107393,209.982977152583,186.830986242144,40.873567170307,8.07112175855083,38.5557139005019,9.45338497755947,14142.5182345228,-1.0,344.212878027224,-1.0,2055433.0,-1.0,5269.0,-1.0,3329.0,-1.0,29502.31270322,-1.0,1539.69525005038,-1.0,227700.448412971,-1.0,0.0,-1.0,0.0,-1.0,2235.636,-1.0,1371512.772,-1.0,2055433.0,-1.0,45.0,-1.0,3.55084817948248,-1.0,8902.0,-1.0,12.4185558249062,23.2458155524534,0.0,-1.0,7252.0,-1.0,1199.08855877267,-1.0
182121,182121,,2,1,0.0,-1.0,24.0,-1.0,96.0,-1.0,16.0,-1.0,168.170938636627,45.8390603883551,18.1811040746253,7.77713591432897,0.0,0.0,22.4209998190857,4.99653001328813,21.4067901932727,4.65950347910347,13.1193810464681,-1.0,0.587818974899524,-1.0,18.0,-1.0,18.0,-1.0,4.0,-1.0,58.875409900995,-1.0,2.66575620664484,-1.0,1.50722222222222,-1.0,0.0,-1.0,0.0,-1.0,7.14133333333334,-1.0,9.21866666666667,-1.0,18.0,-1.0,0.0,-1.0,0.0,-1.0,7.0,-1.0,0.959621676063144,1.91924335212577,0.0,-1.0,24.0,-1.0,1.22423267407907,-1.0
182121,182121,,3,1,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0
182121,182121,,4,1,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0
182121,182121,,5,1,0.0,-1.0,0.0,-1.0,24.0,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,8.0,-1.0,0.0,-1.0,21.6757876617814,-1.0,0.847821097902139,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,1.164,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0
182121,182121,,0,2,4.51240538125043,-1.0,8136.0,-1.0,32874.0,-1.0,5479.0,-1.0,99.4258420866301,40.5362341468588,30.8587925419745,38.605681125749,597.523909783368,337.330801287268,39.0480861102526,8.65547057796009,36.2078904683884,10.1408822451211,7163.14075979524,-1.0,188.505684808072,-1.0,3427263.0,-1.0,8062.0,-1.0,1356.0,-1.0,14593.6930383632,-1.0,2213.62498759983,-1.0,456456.870244978,-1.0,0.0,-1.0,0.0,-1.0,7487.50133333334,-1.0,2742107.59466666,-1.0,3427263.0,-1.0,46.0,-1.0,1.71798507178511,-1.0,4307.0,-1.0,18.1126365584529,36.0993117415084,0.0,-1.0,4362.0,-1.0,600.34451277299,-1.0
182121,182121,,1,2,4.49826727058848,-1.0,8094.0,-1.0,32760.0,-1.0,5460.0,-1.0,98.8428503729987,39.7128104413076,30.7955348225856,38.6899404775831,600.579045980361,335.517572876478,39.158342367786,8.53580294926313,36.4214506807,9.98406558470134,7134.97788782031,-1.0,187.010460254228,-1.0,3427230.0,-1.0,8031.0,-1.0,1349.0,-1.0,14532.2353532208,-1.0,2208.08943135633,-1.0,456453.312189422,-1.0,0.0,-1.0,0.0,-1.0,7468.91866666666,-1.0,2742086.156,-1.0,3427230.0,-1.0,46.0,-1.0,1.70801302005662,-1.0,4282.0,-1.0,18.1312219224267,36.1871453619288,0.0,-1.0,4249.0,-1.0,593.857420738072,-1.0
182121,182121,,2,2,0.0108498026632255,-1.0,36.0,-1.0,90.0,-1.0,15.0,-1.0,223.219552135027,35.3831294363548,43.6381098243039,10.8921214529612,10.2147731232804,19.6143663101579,16.5745148932271,3.39883063997833,16.1276194919625,2.6846524885546,20.8529895474185,-1.0,1.20461732812988,-1.0,33.0,-1.0,21.0,-1.0,6.0,-1.0,49.8132651200553,-1.0,4.19705495315971,-1.0,3.55805555555556,-1.0,0.0,-1.0,0.0,-1.0,15.5386666666667,-1.0,21.4386666666667,-1.0,33.0,-1.0,0.0,-1.0,0.0,-1.0,24.0,-1.0,14.709261848181,9.71418073443132,0.0,-1.0,82.0,-1.0,2.79389187532677,-1.0
182121,182121,,3,2,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0
